2026-01-07 11:17:13 | INFO     | q_learning | ================================================================================
2026-01-07 11:17:13 | INFO     | q_learning | Training Configuration
2026-01-07 11:17:13 | INFO     | q_learning | ================================================================================
2026-01-07 11:17:13 | INFO     | q_learning | Runs: 50
2026-01-07 11:17:13 | INFO     | q_learning | Episodes per run: 300
2026-01-07 11:17:13 | INFO     | q_learning | Learning rate: 0.001
2026-01-07 11:17:13 | INFO     | q_learning | Gamma (discount): 0.99
2026-01-07 11:17:13 | INFO     | q_learning | Epsilon (exploration): 0.1
2026-01-07 11:17:13 | INFO     | q_learning | Render mode: DISABLED
2026-01-07 11:17:13 | INFO     | q_learning | Verbose logging: DISABLED
2026-01-07 11:17:13 | INFO     | q_learning | WandB Project: dqn_cartpole
2026-01-07 11:17:13 | INFO     | q_learning | WandB Group: CartPole-v1_DQN_20260107_111713
2026-01-07 11:17:13 | INFO     | q_learning | Log file: ./output/training_20260107_111713.log
2026-01-07 11:17:13 | INFO     | q_learning | ================================================================================
2026-01-07 11:17:13 | INFO     | q_learning | 
================================================================================
2026-01-07 11:17:13 | INFO     | q_learning | Starting Run 1/50
2026-01-07 11:17:16 | INFO     | q_learning | Run 1 | Episode  112 | Reward:   9.00 | Steps:    9 | Avg(10):   9.80 | Loss: 6.059879
2026-01-07 11:17:16 | INFO     | q_learning | Run 1 | Episode  113 | Reward:   9.00 | Steps:    9 | Avg(10):   9.70 | Loss: 7.707795
2026-01-07 11:17:16 | INFO     | q_learning | Run 1 | Episode  114 | Reward:   9.00 | Steps:    9 | Avg(10):   9.50 | Loss: 5.076296
2026-01-07 11:17:16 | INFO     | q_learning | Run 1 | Episode  115 | Reward:  11.00 | Steps:   11 | Avg(10):   9.60 | Loss: 5.693119
2026-01-07 11:17:16 | INFO     | q_learning | Run 1 | Episode  116 | Reward:  11.00 | Steps:   11 | Avg(10):   9.80 | Loss: 3.828804
2026-01-07 11:17:16 | INFO     | q_learning | Run 1 | Episode  117 | Reward:   9.00 | Steps:    9 | Avg(10):   9.70 | Loss: 4.046863
2026-01-07 11:17:16 | INFO     | q_learning | Run 1 | Episode  118 | Reward:  10.00 | Steps:   10 | Avg(10):   9.70 | Loss: 4.319473
2026-01-07 11:17:16 | INFO     | q_learning | Run 1 | Episode  119 | Reward:  10.00 | Steps:   10 | Avg(10):   9.70 | Loss: 2.654030
2026-01-07 11:17:16 | INFO     | q_learning | Run 1 | Episode  120 | Reward:  11.00 | Steps:   11 | Avg(10):   9.80 | Loss: 3.461772
2026-01-07 11:17:16 | INFO     | q_learning | Run 1 | Episode  121 | Reward:   8.00 | Steps:    8 | Avg(10):   9.70 | Loss: 3.833619
